"identifier","requirementProvidedById","requirementConsumedById","interfaceProvidedById","interfaceConsumedById","createdById","text"
"DCC-1",null,"EXE-LLR-1",null,null,null,"PowerUp"
"DCC-1",null,"EXE-LLR-2",null,null,null,"PowerUp"
"DCC-1",null,"IN-LLR-1",null,null,null,"PowerUp"
"DCC-1",null,"OUT-LLR-1",null,null,null,"PowerUp"
"DCC-2",null,"IN-LLR-2",null,null,null,"incoming UDP message"
"DCC-2",null,"IN-LLR-3",null,null,null,"incoming UDP message"
"DCC-2",null,"IN-LLR-5",null,null,null,"incoming UDP message"
"DCC-2",null,"IN-LLR-6",null,null,null,"incoming UDP message"
"DCC-3","IN-LLR-1","IN-LLR-2",null,null,null,"input_park_count"
"DCC-3","IN-LLR-4","IN-LLR-2",null,null,null,"input_park_count"
"DCC-3","IN-LLR-1","IN-LLR-3",null,null,null,"input_park_count"
"DCC-3","IN-LLR-4","IN-LLR-3",null,null,null,"input_park_count"
"DCC-3","IN-LLR-1","IN-LLR-4",null,null,null,"input_park_count"
"DCC-3","IN-LLR-4","IN-LLR-4",null,null,null,"input_park_count"
"DCC-3","IN-LLR-1","IN-LLR-5",null,null,null,"input_park_count"
"DCC-3","IN-LLR-4","IN-LLR-5",null,null,null,"input_park_count"
"DCC-3","IN-LLR-1","IN-LLR-6",null,null,null,"input_park_count"
"DCC-3","IN-LLR-4","IN-LLR-6",null,null,null,"input_park_count"
"DCC-4","IN-LLR-3","OUT-LLR-2",null,null,null,"output_park_count"
"DCC-4","OUT-LLR-1","OUT-LLR-2",null,null,null,"output_park_count"
"DCC-5","OUT-LLR-2",null,null,null,null,"outgoing UDP message"
"DCC-6","EXE-LLR-3",null,null,null,null,"console"
"DCC-6","IN-LLR-5",null,null,null,null,"console"
"DCC-6","IN-LLR-6",null,null,null,null,"console"
"counter","HLR-1","HLR-3",null,null,null,null
"counter","HLR-2","HLR-3",null,null,null,null
"counter","HLR-3",null,null,"census",null,null
"inflowEvent",null,"HLR-1","inflow",null,null,null
"outflowEvent",null,"HLR-2","outflow",null,null,null

