description,entityURL,generatedAtTime,identifier,invalidatedAtTime,title,definedIn_identifier,content_identifier,dataInsertedBy_identifier,wasAttributedTo_identifier,wasDerivedFrom_identifier,wasGeneratedBy_identifier,wasImpactedBy_identifier,wasRevisionOf_identifier
,,,A-1,,Software Planning Process,,A-1-1,,,,,,
,,,A-1,,Software Planning Process,,A-1-2,,,,,,
,,,A-1,,Software Planning Process,,A-1-3,,,,,,
,,,A-1,,Software Planning Process,,A-1-4,,,,,,
,,,A-1,,Software Planning Process,,A-1-5,,,,,,
,,,A-1,,Software Planning Process,,A-1-6,,,,,,
,,,A-1,,Software Planning Process,,A-1-7,,,,,,
,,,A-2,,Software Development Process,,A-2-1,,,,,,
,,,A-2,,Software Development Process,,A-2-2,,,,,,
,,,A-2,,Software Development Process,,A-2-3,,,,,,
,,,A-2,,Software Development Process,,A-2-4,,,,,,
,,,A-2,,Software Development Process,,A-2-5,,,,,,
,,,A-2,,Software Development Process,,A-2-6,,,,,,
,,,A-2,,Software Development Process,,A-2-7,,,,,,
,,,A-3,,Verification of Outputs of Software Requirements Process,,A-3-1,,,,,,
,,,A-3,,Verification of Outputs of Software Requirements Process,,A-3-2,,,,,,
,,,A-3,,Verification of Outputs of Software Requirements Process,,A-3-3,,,,,,
,,,A-3,,Verification of Outputs of Software Requirements Process,,A-3-4,,,,,,
,,,A-3,,Verification of Outputs of Software Requirements Process,,A-3-5,,,,,,
,,,A-3,,Verification of Outputs of Software Requirements Process,,A-3-6,,,,,,
,,,A-3,,Verification of Outputs of Software Requirements Process,,A-3-7,,,,,,
,,,A-4,,Verification of Outputs of Software Design Process,,A-4-1,,,,,,
,,,A-4,,Verification of Outputs of Software Design Process,,A-4-2,,,,,,
,,,A-4,,Verification of Outputs of Software Design Process,,A-4-3,,,,,,
,,,A-4,,Verification of Outputs of Software Design Process,,A-4-4,,,,,,
,,,A-4,,Verification of Outputs of Software Design Process,,A-4-5,,,,,,
,,,A-4,,Verification of Outputs of Software Design Process,,A-4-6,,,,,,
,,,A-4,,Verification of Outputs of Software Design Process,,A-4-7,,,,,,
,,,A-4,,Verification of Outputs of Software Design Process,,A-4-8,,,,,,
,,,A-4,,Verification of Outputs of Software Design Process,,A-4-9,,,,,,
,,,A-4,,Verification of Outputs of Software Design Process,,A-4-10,,,,,,
,,,A-4,,Verification of Outputs of Software Design Process,,A-4-11,,,,,,
