description,entityURL,generatedAtTime,identifier,invalidatedAtTime,title,definedIn_identifier,satisfiedBy_identifier,dataInsertedBy_identifier,wasAttributedTo_identifier,wasDerivedFrom_identifier,wasGeneratedBy_identifier,wasImpactedBy_identifier,wasRevisionOf_identifier
"Tool Executable Object Code is produced.",,,T-2-7,,,,,,,,,,
"Tool Source Code is developed.",,,T-2-6,,,,,,,,,,
"Derived tool requirements are defined.",,,T-2-2,,,,,,,,,,
"Derived low-level tool requirements are defined.",,,T-2-5,,,,,,,,,,
"Tool Requirements are developed.",,,T-2-1,,,,,,,,,,
"Low-level tool requirements are developed.",,,T-2-4,,,,,,,,,,
"Tool architecture is developed.",,,T-2-3,,,,,,,,,,
"Tool is installed in the tool verification environment(s).",,,T-2-8,,,,,,,,,,
"Tool conformity review is conducted.",,,T-9-5,,,,,,,,,,
"Assurance is obtained that transition criteria for the tool life cycle processes are satisfied.",,,T-9-4,,,,,,,,,,
"Assurance is obtained that tool processes comply with approved standards.",,,T-9-3,,,,,,,,,,
"Assurance is obtained that tool processes comply with approved plans.",,,T-9-2,,,,,,,,,,
"Assurance is obtained that tool plans and standards are developed and reviewed for consistency.",,,T-9-1,,,,,,,,,,
"Impact of known problems on the Tool Operational Requirements is identified and analyzed.",,,T-10-4,,,,,,,,,,
"Compliance substantiation is provided.",,,T-10-3,,,,,,,,,,
"The means of compliance is proposed and agreement is obtained.",,,T-10-2,,,,,,,,,,
"Communication and understanding between the applicant and the certification authority is established.",,,T-10-1,,,,,,,,,,
"Software life cycle process needs are met by the tool.",,,T-0-7,,,,,,,,,,
"Tool Operational Requirements are sufficient and correct.",,,T-0-6,,,,,,,,,,
"Tool operation complies with the Tool Operational Requirements.",,,T-0-5,,,,,,,,,,
"Tool Operational Requirements are complete, accurate, verifiable, and consistent.",,,T-0-4,,,,,,,,,,
"Tool Executable Object Code is installed in the tool operational environment.",,,T-0-3,,,,,,,,,,
"Tool Operational Requirements are defined.",,,T-0-2,,,,,,,,,,
"The tool qualification need is established.",,,T-0-1,,,,,,,,,,
"Test coverage of Tool Requirements is achieved.",,,T-7-3,,,,,,,,,,
"Analysis of requirements based testing of external components is achieved.",,,T-7-5,,,,,,,,,,
"Test coverage of low-level tool requirements is achieved.",,,T-7-4,,,,,,,,,,
"Test results are correct and discrepancies explained.",,,T-7-2,,,,,,,,,,
