identifier,description
CWE-1007,"The software displays information or identifiers to a user, but the display mechanism does not make it easy for the user to distinguish between visually similar or identical glyphs (homoglyphs), which may cause the user to misinterpret a glyph and perform an unintended, insecure action."
CWE-1021,"The web application does not restrict or incorrectly restricts frame objects or UI layers that belong to another application or domain, which can lead to user confusion about which interface the user is interacting with."
CWE-1024,"The software performs a comparison between two entities, but the entities are of different, incompatible types that cannot be guaranteed to provide correct results when they are directly compared."
CWE-1025,"The code performs a comparison between two entities, but the comparison examines the wrong factors or characteristics of the entities, which can lead to incorrect results and resultant weaknesses."
CWE-1037,"The developer builds a security-critical protection mechanism into the software, but the processor optimizes the execution of the program such that the mechanism is removed or modified."
CWE-1041,"The software has multiple functions, methods, procedures, macros, etc. that contain the same code."
CWE-1043,The software uses a data element that has an excessively large number of sub-elements with non-primitive data types such as structures or aggregated objects.
CWE-1044,The software's architecture contains too many - or too few - horizontal layers.
CWE-1045,"A parent class has a virtual destructor method, but the parent has a child class that does not have a virtual destructor."
CWE-1046,The software creates an immutable text string using string concatenation operations.
CWE-1047,"The software contains modules in which one module has references that cycle back to itself, i.e., there are circular dependencies."
CWE-1048,"The code contains callable control elements that contain an excessively large number of references to other application objects external to the context of the callable, i.e. a Fan-Out value that is excessively large."
CWE-1049,The software performs a data query with a large number of joins and sub-queries on a large data table.
CWE-1050,"The software has a loop body or loop condition that contains a control element that directly or indirectly consumes platform resources, e.g. messaging, sessions, locks, or file descriptors."
CWE-1051,The software initializes data using hard-coded values that act as network resource identifiers.
CWE-1052,The software initializes a data element using a hard-coded literal that is not a simple integer or static constant element.
CWE-1053,The product does not have documentation that represents how it is designed.
CWE-1054,"The code at one architectural layer invokes code that resides at a deeper layer than the adjacent layer, i.e., the invocation skips at least one layer, and the invoked code is not part of a vertical utility layer that can be referenced from any horizontal layer."
CWE-1055,The software contains a class with inheritance from more than one concrete class.
CWE-1056,A named-callable or method control element has a signature that supports a variable (variadic) number of parameters or arguments.
CWE-1057,"The software uses a dedicated, central data manager component as required by design, but it contains code that performs data-access operations that do not use this data manager."
CWE-1058,The code contains a function or method that operates in a multi-threaded environment but owns an unsafe non-final static storable or member data element.
CWE-1060,The software performs too many data queries without using efficient data processing functionality such as stored procedures.
CWE-1062,"The code has a parent class that contains references to a child class, its methods, or its members."
CWE-1063,A static code block creates an instance of a class.
CWE-1064,"The software contains a function, subroutine, or method whose signature has an unnecessarily large number of parameters/arguments."
CWE-1065,"The application uses deployed components from application servers, but it also uses low-level functions/methods for management of resources, instead of the API provided by the application server."
CWE-1066,The software contains a serializable data element that does not have an associated serialization method.
CWE-1067,The software contains a data query against an SQL table or view that is configured in a way that does not utilize an index and may cause sequential searches to be performed.
CWE-1068,The implementation of the product is not consistent with the design as described within the relevant documentation.
CWE-1069,"An invokable code block contains an exception handling block that does not contain any code, i.e. is empty."
CWE-1070,"The software contains a serializable, storable data element such as a field or member, but the data element contains member elements that are not serializable."
CWE-1071,"The source code contains a block that does not contain any code, i.e., the block is empty."
CWE-1072,The software accesses a data resource through a database without using a connection pooling capability.
CWE-1073,"The software contains a client with a function or method that contains a large number of data accesses/queries that are sent through a data manager, i.e., does not use efficient database capabilities."
CWE-1074,"A class has an inheritance level that is too high, i.e., it has a large number of parent classes."
CWE-1075,The software performs unconditional control transfer (such as a goto) in code outside of a branching structure such as a switch block.
CWE-1077,"The code performs a comparison such as an equality test between two float (floating point) values, but it uses comparison operators that do not account for the possibility of loss of precision."
CWE-1079,"A parent class contains one or more child classes, but the parent class does not have a virtual destructor method."
CWE-1080,A source code file has too many lines of code.
CWE-1082,The code contains a class instance that calls the method or function to delete or destroy itself.
CWE-1083,"The software is intended to manage data access through a particular data manager component such as a relational or non-SQL database, but it contains code that performs data access operations without using that component."
CWE-1084,A function or method contains too many operations that utilize a data manager or file resource.
CWE-1085,"A function, method, procedure, etc. contains an excessive amount of code that has been commented out within its body."
CWE-1086,A class contains an unnecessarily large number of children.
CWE-1087,"A class contains a virtual method, but the method does not have an associated virtual destructor."
CWE-1088,"The code has a synchronous call to a remote resource, but there is no timeout for the call, or the timeout is set to infinite."
CWE-1089,The software uses a large data table that contains an excessively large number of indices.
CWE-1090,A method for a class performs an operation that directly accesses a member element from another class.
CWE-1091,The software contains a method that accesses an object but does not later invoke the element's associated finalize/destructor method.
CWE-1092,The software uses the same control element across multiple architectural layers.
CWE-1094,"The software contains an index range scan for a large data table, but the scan can cover a large number of rows."
CWE-1095,The software uses a loop with a control flow condition based on a value that is updated within the body of the loop.
