CLASS,PROPERTY,DATA TYPE,LABEL(S),COMMENT(S)
ORGANIZATION,,,,"An organization is a social or legal institution such as a company, society, etc."
ORGANIZATION,name (SHARED PROPERTY),string,,Full name of a person ; Full name of an organization (SHARED PROPERTY)
ORGANIZATION,actedOnBehalfOf,AGENT,,"Delegation is the assignment of authority and responsibility to an agent (by itself or by another agent) to carry out a specific activity as a delegate or representative, while the agent it acts on behalf of retains some responsibility for the outcome of the delegated work."
ORGANIZATION,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ORGANIZATION,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ORGANIZATION,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ORGANIZATION,title,string,,"A short, human-readable identifying label."
PERSON,,,,Person agents are people
PERSON,emailAddress,string,,Email address of person
PERSON,employedBy,AGENT,,Relates people to the company they were acting on behalf of.
PERSON,name (SHARED PROPERTY),string,,Full name of a person ; Full name of an organization (SHARED PROPERTY)
PERSON,actedOnBehalfOf,AGENT,,"Delegation is the assignment of authority and responsibility to an agent (by itself or by another agent) to carry out a specific activity as a delegate or representative, while the agent it acts on behalf of retains some responsibility for the outcome of the delegated work."
PERSON,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
PERSON,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
PERSON,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
PERSON,title,string,,"A short, human-readable identifying label."
SOFTWAREAGENT,,,,A software agent is running software.
SOFTWAREAGENT,actedOnBehalfOf,AGENT,,"Delegation is the assignment of authority and responsibility to an agent (by itself or by another agent) to carry out a specific activity as a delegate or representative, while the agent it acts on behalf of retains some responsibility for the outcome of the delegated work."
SOFTWAREAGENT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SOFTWAREAGENT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SOFTWAREAGENT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SOFTWAREAGENT,title,string,,"A short, human-readable identifying label."
TOOL,,,,"An aid (software, hardware, etc) that automates the performance of a specific activity."
TOOL,actedOnBehalfOf,AGENT,,"Delegation is the assignment of authority and responsibility to an agent (by itself or by another agent) to carry out a specific activity as a delegate or representative, while the agent it acts on behalf of retains some responsibility for the outcome of the delegated work."
TOOL,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
TOOL,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
TOOL,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
TOOL,title,string,,"A short, human-readable identifying label."
ANALYSIS,,,,"ACTIVITY of running some analysis, supposedly creating some ANALYSIS_REPORT"
ANALYSIS,performedBy,AGENT,,"Entity that is responsible for producing an analysis, could be a person or a tool. "
ANALYSIS,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ANALYSIS,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ANALYSIS,endedAtTime,dateTime,,The time an activity was ended
ANALYSIS,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ANALYSIS,startedAtTime,dateTime,,The time an activity was started
ANALYSIS,title,string,,"A short, human-readable identifying label."
ANALYSIS,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
ANALYSIS,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
ANALYSIS,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
ANALYSIS_ANNOTATION,,,,A result of the analysis that is linked to some specific part of the system.
ANALYSIS_ANNOTATION,annotationType,ANALYSIS_ANNOTATION_TYPE,,The type of the annotation.
ANALYSIS_ANNOTATION,fromReport,ENTITY,,Which analysis report this annotation comes from.
ANALYSIS_ANNOTATION,fileParent,FILE,,The file an ENTITY is defined in
ANALYSIS_ANNOTATION,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ANALYSIS_ANNOTATION,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ANALYSIS_ANNOTATION,generatedAtTime,dateTime,,The time this entity was created and available for use
ANALYSIS_ANNOTATION,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ANALYSIS_ANNOTATION,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
ANALYSIS_ANNOTATION,title,string,,"A short, human-readable identifying label."
ANALYSIS_ANNOTATION,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
ANALYSIS_ANNOTATION,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
ANALYSIS_ANNOTATION,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
ANALYSIS_ANNOTATION,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
ANALYSIS_ANNOTATION,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
ANALYSIS_ANNOTATION_TYPE,,,,An open/extensible set of types of analysis annotations
ANALYSIS_ANNOTATION_TYPE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ANALYSIS_ANNOTATION_TYPE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ANALYSIS_ANNOTATION_TYPE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ANALYSIS_ANNOTATION_TYPE,title,string,,"A short, human-readable identifying label."
ANALYSIS_REPORT,,,,Output of an ANALYSIS
ANALYSIS_REPORT,analyzes,ENTITY,,ENTITY(s) under analysis
ANALYSIS_REPORT,metric,float,,provides a numerical result value from the analysis that was performed
ANALYSIS_REPORT,producedBy,ACTIVITY,,ACTIVITY(s) (e.g. ANALYSIS) producing this report
ANALYSIS_REPORT,result,ANALYSIS_RESULT,,Passed/Failed/Indeterminate status of this report
ANALYSIS_REPORT,fileParent,FILE,,The file an ENTITY is defined in
ANALYSIS_REPORT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ANALYSIS_REPORT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ANALYSIS_REPORT,generatedAtTime,dateTime,,The time this entity was created and available for use
ANALYSIS_REPORT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ANALYSIS_REPORT,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
ANALYSIS_REPORT,title,string,,"A short, human-readable identifying label."
ANALYSIS_REPORT,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
ANALYSIS_REPORT,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
ANALYSIS_REPORT,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
ANALYSIS_REPORT,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
ANALYSIS_REPORT,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
ANALYSIS_RESULT,,"enumeration: [http://arcos.rack/ANALYSIS#Passed, http://arcos.rack/ANALYSIS#Failed, http://arcos.rack/ANALYSIS#Indeterminate]",,Outcome of an analysis report
ANALYSIS_RESULT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ANALYSIS_RESULT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ANALYSIS_RESULT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ANALYSIS_RESULT,title,string,,"A short, human-readable identifying label."
ASSESSING_CONFIDENCE,,,,ACTIVITY that establishes a CONFIDENCE_ASSESSMENT
ASSESSING_CONFIDENCE,performedBy,AGENT,,"ENTITY responsible for producing the assessment, could be a person or a tool"
ASSESSING_CONFIDENCE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ASSESSING_CONFIDENCE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ASSESSING_CONFIDENCE,endedAtTime,dateTime,,The time an activity was ended
ASSESSING_CONFIDENCE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ASSESSING_CONFIDENCE,startedAtTime,dateTime,,The time an activity was started
ASSESSING_CONFIDENCE,title,string,,"A short, human-readable identifying label."
ASSESSING_CONFIDENCE,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
ASSESSING_CONFIDENCE,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
ASSESSING_CONFIDENCE,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
BDU_CONFIDENCE_ASSESSMENT,,,,"A belief-disbelief-uncertainty confidence assessment, c.f. Subjective Logic. belief, disbelief, and uncertainty should sum to 1"
BDU_CONFIDENCE_ASSESSMENT,assesses,ENTITY,,ENTITY(s) whose confidence is assessed
BDU_CONFIDENCE_ASSESSMENT,belief,float,,belief that an assessment is true
BDU_CONFIDENCE_ASSESSMENT,createBy,ACTIVITY,,ACTIVITY(s) (e.g. ASSESSING_CONFIDENCE) that created this assessment.
BDU_CONFIDENCE_ASSESSMENT,disbelief,float,,belief that an assessment is false
BDU_CONFIDENCE_ASSESSMENT,uncertainty,float,,uncommitted belief
BDU_CONFIDENCE_ASSESSMENT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
BDU_CONFIDENCE_ASSESSMENT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
BDU_CONFIDENCE_ASSESSMENT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
BDU_CONFIDENCE_ASSESSMENT,title,string,,"A short, human-readable identifying label."
CONFIDENCE_ASSESSMENT,,,,Superclass for confidence assessments over some other data in the ontology.
CONFIDENCE_ASSESSMENT,assesses,ENTITY,,ENTITY(s) whose confidence is assessed
CONFIDENCE_ASSESSMENT,belief,float,,belief that an assessment is true
CONFIDENCE_ASSESSMENT,createBy,ACTIVITY,,ACTIVITY(s) (e.g. ASSESSING_CONFIDENCE) that created this assessment.
CONFIDENCE_ASSESSMENT,disbelief,float,,belief that an assessment is false
CONFIDENCE_ASSESSMENT,uncertainty,float,,uncommitted belief
CONFIDENCE_ASSESSMENT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
CONFIDENCE_ASSESSMENT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
CONFIDENCE_ASSESSMENT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
CONFIDENCE_ASSESSMENT,title,string,,"A short, human-readable identifying label."
DESCRIPTION,,,,"A DESCRIPTION represents a planned or actual concept, function, design or object."
DESCRIPTION,dateOfIssue (SHARED PROPERTY),date,,Release date for the document. (SHARED PROPERTY)
DESCRIPTION,issuingOrganization (SHARED PROPERTY),AGENT,,AGENT responsible for producing a document. (SHARED PROPERTY)
DESCRIPTION,references (SHARED PROPERTY),ENTITY,,Source Materials used in the development of a document. (SHARED PROPERTY)
DESCRIPTION,status (SHARED PROPERTY),DOC_STATUS,,"Identifies the maturity of the document, In_Development, Released, Withdrawn. (SHARED PROPERTY)"
DESCRIPTION,fileParent,FILE,,The file an ENTITY is defined in
DESCRIPTION,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
DESCRIPTION,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
DESCRIPTION,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
DESCRIPTION,generatedAtTime,dateTime,,The time this entity was created and available for use
DESCRIPTION,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
DESCRIPTION,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
DESCRIPTION,title,string,,"A short, human-readable identifying label."
DESCRIPTION,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
DESCRIPTION,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
DESCRIPTION,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
DESCRIPTION,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
DESCRIPTION,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
DOC_STATUS,,"enumeration: [http://arcos.rack/DOCUMENT#In_Development, http://arcos.rack/DOCUMENT#Released, http://arcos.rack/DOCUMENT#Withdrawn]",,Life-cycle status of a document
DOC_STATUS,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
DOC_STATUS,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
DOC_STATUS,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
DOC_STATUS,title,string,,"A short, human-readable identifying label."
PLAN,,,,"A PLAN presents a systematic course of action for achieving a declared purpose, including when, how, and by whom specified activities are to be performed. "
PLAN,approvalAuthority (SHARED PROPERTY),AGENT,,AGENT responsible for approving a document. (SHARED PROPERTY)
PLAN,dateOfIssue (SHARED PROPERTY),date,,Release date for the document. (SHARED PROPERTY)
PLAN,issuingOrganization (SHARED PROPERTY),AGENT,,AGENT responsible for producing a document. (SHARED PROPERTY)
PLAN,references (SHARED PROPERTY),ENTITY,,Source Materials used in the development of a document. (SHARED PROPERTY)
PLAN,status (SHARED PROPERTY),DOC_STATUS,,"Identifies the maturity of the document, In_Development, Released, Withdrawn. (SHARED PROPERTY)"
PLAN,fileParent,FILE,,The file an ENTITY is defined in
PLAN,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
PLAN,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
PLAN,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
PLAN,generatedAtTime,dateTime,,The time this entity was created and available for use
PLAN,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
PLAN,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
PLAN,title,string,,"A short, human-readable identifying label."
