identifier,dataInsertedBy_identifier,content_identifier,references_identifier
_01-PlanForSoftwareAspectsOfCertification,TurnstileIngestion-Dev Plan Data,_01-SystemOverview,
_01-PlanForSoftwareAspectsOfCertification,TurnstileIngestion-Dev Plan Data,_02-SoftwareOverview,
_01-PlanForSoftwareAspectsOfCertification,TurnstileIngestion-Dev Plan Data,_03-CertificationConsiderations,
_01-PlanForSoftwareAspectsOfCertification,TurnstileIngestion-Dev Plan Data,_04-SoftwareLifeCycle,
_01-PlanForSoftwareAspectsOfCertification,TurnstileIngestion-Dev Plan Data,_05-SoftwareLifeCycleData,
_01-PlanForSoftwareAspectsOfCertification,TurnstileIngestion-Dev Plan Data,_06-Schedule,
_01-PlanForSoftwareAspectsOfCertification,TurnstileIngestion-Dev Plan Data,_07-AdditionalConsiderations,
_01-PlanForSoftwareAspectsOfCertification,TurnstileIngestion-Dev Plan Data,_08-SupplierOversite,
_02-SystemDevelopement,TurnstileIngestion-Dev Plan Data,_01-SystemRequirements,
_02-SystemDevelopement,TurnstileIngestion-Dev Plan Data,_02-SystemDesign,
_02-SystemDevelopement,TurnstileIngestion-Dev Plan Data,_03-HazardAssesment,
_03-SoftwareDevelopment,TurnstileIngestion-Dev Plan Data,_01-Standards,
_03-SoftwareDevelopment,TurnstileIngestion-Dev Plan Data,_02-SoftwareDevelopmentLifeCycle,
_03-SoftwareDevelopment,TurnstileIngestion-Dev Plan Data,_03-SoftwareDevelopmentEnvironment,
_04-SoftwareVerification,TurnstileIngestion-Dev Plan Data,_01-SoftwareReviewProcess,
_04-SoftwareVerification,TurnstileIngestion-Dev Plan Data,_02-SoftwareTestGenerationProcess,
_04-SoftwareVerification,TurnstileIngestion-Dev Plan Data,_04-SoftwareAnalysis,
_04-SoftwareVerification,TurnstileIngestion-Dev Plan Data,_03-SoftwareTestExecutionProcess,
_05-SoftwareConfigurationManagment,TurnstileIngestion-Dev Plan Data,_01-ChangeManagement,
_05-SoftwareConfigurationManagment,TurnstileIngestion-Dev Plan Data,_02-SoftwareConfigurationManagementEnvironment,
_06-SoftwareQualityAssurance,TurnstileIngestion-Dev Plan Data,,
SoftwareCodeReviewChecklist,TurnstileIngestion-Dev Plan Data,,VER-STD
SoftwareDesignReviewChecklist,TurnstileIngestion-Dev Plan Data,,VER-STD
SoftwareRequirementReviewChecklist,TurnstileIngestion-Dev Plan Data,,VER-STD
SoftwareTestGuidance,TurnstileIngestion-Dev Plan Data,,VER-STD
_07-SoftwareStandards,TurnstileIngestion-Dev Plan Data,SoftwareCodeReviewChecklist,
_07-SoftwareStandards,TurnstileIngestion-Dev Plan Data,SoftwareDesignReviewChecklist,
_07-SoftwareStandards,TurnstileIngestion-Dev Plan Data,SoftwareRequirementReviewChecklist,
_07-SoftwareStandards,TurnstileIngestion-Dev Plan Data,SoftwareTestGuidance,
_DevelopmentPlan,TurnstileIngestion-Dev Plan Data,_01-PlanForSoftwareAspectsOfCertification,
_DevelopmentPlan,TurnstileIngestion-Dev Plan Data,_02-SystemDevelopement,
_DevelopmentPlan,TurnstileIngestion-Dev Plan Data,_03-SoftwareDevelopment,
_DevelopmentPlan,TurnstileIngestion-Dev Plan Data,_04-SoftwareVerification,
_DevelopmentPlan,TurnstileIngestion-Dev Plan Data,_05-SoftwareConfigurationManagment,
_DevelopmentPlan,TurnstileIngestion-Dev Plan Data,_06-SoftwareQualityAssurance,
_DevelopmentPlan,TurnstileIngestion-Dev Plan Data,_07-SoftwareStandards,
