identifier,dataInsertedBy_identifier,content_identifier
_01-SystemOverview,TurnstileIngestion-Dev Plan Data,CounterApplication
_01-SystemOverview,TurnstileIngestion-Dev Plan Data,Display
_01-SystemOverview,TurnstileIngestion-Dev Plan Data,InGate
_01-SystemOverview,TurnstileIngestion-Dev Plan Data,OutGate
_01-SystemOverview,TurnstileIngestion-Dev Plan Data,Turnstile
_02-SoftwareOverview,TurnstileIngestion-Dev Plan Data,CounterApplication
_02-SoftwareOverview,TurnstileIngestion-Dev Plan Data,ExecutiveThread
_02-SoftwareOverview,TurnstileIngestion-Dev Plan Data,InputThread
_02-SoftwareOverview,TurnstileIngestion-Dev Plan Data,OutputThread
_03-CertificationConsiderations,TurnstileIngestion-Dev Plan Data,
_04-SoftwareLifeCycle,TurnstileIngestion-Dev Plan Data,
05-SoftwareLifeCycleData,TurnstileIngestion-Dev Plan Data,Counter-Req-Spec
05-SoftwareLifeCycleData,TurnstileIngestion-Dev Plan Data,CounterApplicationSoftware
05-SoftwareLifeCycleData,TurnstileIngestion-Dev Plan Data,Counter-SW-Des
05-SoftwareLifeCycleData,TurnstileIngestion-Dev Plan Data,SW-Code
05-SoftwareLifeCycleData,TurnstileIngestion-Dev Plan Data,RQ-STD
05-SoftwareLifeCycleData,TurnstileIngestion-Dev Plan Data,SECI
05-SoftwareLifeCycleData,TurnstileIngestion-Dev Plan Data,SW-STD
05-SoftwareLifeCycleData,TurnstileIngestion-Dev Plan Data,SW-Ver-Des
05-SoftwareLifeCycleData,TurnstileIngestion-Dev Plan Data,Sys-Spec
05-SoftwareLifeCycleData,TurnstileIngestion-Dev Plan Data,Sys-Ver-Rep
05-SoftwareLifeCycleData,TurnstileIngestion-Dev Plan Data,VER-STD
_06-Schedule,TurnstileIngestion-Dev Plan Data,
_07-AdditionalConsiderations,TurnstileIngestion-Dev Plan Data,
_08-SupplierOversite,TurnstileIngestion-Dev Plan Data,
_01-SystemRequirements,TurnstileIngestion-Dev Plan Data,
_02-SystemDesign,TurnstileIngestion-Dev Plan Data,
_03-HazardAssesment,TurnstileIngestion-Dev Plan Data,
_01-Standards,TurnstileIngestion-Dev Plan Data,
_02-SoftwareDevelopmentLifeCycle,TurnstileIngestion-Dev Plan Data,
_03-SoftwareDevelopmentEnvironment,TurnstileIngestion-Dev Plan Data,
_01-SoftwareReviewProcess,TurnstileIngestion-Dev Plan Data,
_02-SoftwareTestGenerationProcess,TurnstileIngestion-Dev Plan Data,
_04-SoftwareAnalysis,TurnstileIngestion-Dev Plan Data,
_03-SoftwareTestExecutionProcess,TurnstileIngestion-Dev Plan Data,
_01-ChangeManagement,TurnstileIngestion-Dev Plan Data,
_02-SoftwareConfigurationManagementEnvironment,TurnstileIngestion-Dev Plan Data,
