identifier,dataInsertedBy_identifier
,TurnstileIngestion-Low Level Requirements
,TurnstileIngestion-Low Level Requirements
,TurnstileIngestion-Low Level Requirements
,TurnstileIngestion-Low Level Requirements
HLR-1:v1,TurnstileIngestion-Low Level Requirements
HLR-2:v1,TurnstileIngestion-Low Level Requirements
HLR-1:v1,TurnstileIngestion-Low Level Requirements
HLR-2:v1,TurnstileIngestion-Low Level Requirements
,TurnstileIngestion-Low Level Requirements
,TurnstileIngestion-Low Level Requirements
,TurnstileIngestion-Low Level Requirements
,TurnstileIngestion-Low Level Requirements
HLR-3:v1,TurnstileIngestion-Low Level Requirements
HLR-1:v2,TurnstileIngestion-Low Level Requirements
HLR-2:v2,TurnstileIngestion-Low Level Requirements
HLR-1:v2,TurnstileIngestion-Low Level Requirements
HLR-2:v2,TurnstileIngestion-Low Level Requirements
HLR-3:v2,TurnstileIngestion-Low Level Requirements
