identifier,dataInsertedBy_identifier,content_identifier
RequirementsPackage:v1,TurnstileIngestion-Baselines,HLR-1:v1
RequirementsPackage:v2,TurnstileIngestion-Baselines,HLR-1:v2
RequirementsPackage:v1,TurnstileIngestion-Baselines,HLR-2:v1
RequirementsPackage:v2,TurnstileIngestion-Baselines,HLR-2:v2
RequirementsPackage:v1,TurnstileIngestion-Baselines,HLR-3:v1
RequirementsPackage:v2,TurnstileIngestion-Baselines,HLR-3:v2
RequirementsPackage:v1,TurnstileIngestion-Baselines,IN-LLR-2:v1
RequirementsPackage:v2,TurnstileIngestion-Baselines,IN-LLR-2:v2
RequirementsPackage:v1,TurnstileIngestion-Baselines,IN-LLR-3:v1
RequirementsPackage:v2,TurnstileIngestion-Baselines,IN-LLR-3:v2
RequirementsPackage:v1,TurnstileIngestion-Baselines,OUT-LLR-2:v1
RequirementsPackage:v2,TurnstileIngestion-Baselines,OUT-LLR-2:v2
RequirementsPackage:v1,TurnstileIngestion-Baselines,Sys-1
RequirementsPackage:v2,TurnstileIngestion-Baselines,Sys-1
RequirementsPackage:v1,TurnstileIngestion-Baselines,Sys-2
RequirementsPackage:v2,TurnstileIngestion-Baselines,Sys-2
RequirementsPackage:v1,TurnstileIngestion-Baselines,Sys-3
RequirementsPackage:v2,TurnstileIngestion-Baselines,Sys-3
