identifier,dataInsertedBy_identifier,createBy_identifier,reviewResult_identifier,reviews_identifier
LlrReview1Log-1,TurnstileIngestion-SystemReview,LlrReview1,Passed,IN-LLR-1
LlrReview1Log-2,TurnstileIngestion-SystemReview,LlrReview1,Passed,IN-LLR-2
LlrReview1Log-3,TurnstileIngestion-SystemReview,LlrReview1,Passed,IN-LLR-3
LlrReview1Log-4,TurnstileIngestion-SystemReview,LlrReview1,Passed,IN-LLR-4
LlrReview1Log-5,TurnstileIngestion-SystemReview,LlrReview1,Passed,IN-LLR-5
LlrReview1Log-6,TurnstileIngestion-SystemReview,LlrReview1,Passed,IN-LLR-6
LlrReview2Log-1,TurnstileIngestion-SystemReview,LlrReview2,Passed,OUT-LLR-1
LlrReview2Log-2,TurnstileIngestion-SystemReview,LlrReview2,Passed,OUT-LLR-2
LlrReview3Log-1,TurnstileIngestion-SystemReview,LlrReview3,Passed,EXE-LLR-1
LlrReview3Log-2,TurnstileIngestion-SystemReview,LlrReview3,Passed,EXE-LLR-2
LlrReview3Log-3,TurnstileIngestion-SystemReview,LlrReview3,Passed,EXE-LLR-3
