identifier,dataInsertedBy_identifier,createdBy_identifier,description,governs_identifier,satisfies_identifier
EXE-LLR-1,TurnstileIngestion-Low Level Requirements,LlrDev1,Executive shall spawn Input Thread on powerup.,ExecutiveThread,
EXE-LLR-2,TurnstileIngestion-Low Level Requirements,LlrDev1,Executive shall spawn Output Thread on powerup.,ExecutiveThread,
EXE-LLR-3,TurnstileIngestion-Low Level Requirements,LlrDev1,Executive shall print a single '.' character to the console every second when running.,ExecutiveThread,
IN-LLR-1,TurnstileIngestion-Low Level Requirements,LlrDev1,Input Thread shall initialize the park_count to 0 on powerup.,InputThread,
IN-LLR-2,TurnstileIngestion-Low Level Requirements,LlrDev1,Input Thread shall check for a incoming UDP message on port 62000.,InputThread,
IN-LLR-2,TurnstileIngestion-Low Level Requirements,,,,HLR-1:v2
IN-LLR-2,TurnstileIngestion-Low Level Requirements,,,,HLR-2:v2
IN-LLR-3,TurnstileIngestion-Low Level Requirements,LlrDev1,Input Thread shall add the delta value received by the UDP to the park_count and send the updated park_count to the Output Thread when a valid UDP message is received and the park_count range is not exceed.,governs InputThread,
IN-LLR-3,TurnstileIngestion-Low Level Requirements,,,,HLR-1:v2
IN-LLR-3,TurnstileIngestion-Low Level Requirements,,,,HLR-2:v2
IN-LLR-4,TurnstileIngestion-Low Level Requirements,LlrDev1,Input Thread shall limit park_count to between 0 and 1500.,InputThread,
IN-LLR-5,TurnstileIngestion-Low Level Requirements,LlrDev1,Input Thread shall print 'Invalid Message' to the console when a invalid UDP message is received.,InputThread,
IN-LLR-6,TurnstileIngestion-Low Level Requirements,LlrDev1,Input Thread shall print 'Limit Exceeded'' to the console when a valid UDP message is received and the park_count range is exceed.,governs InputThread,
OUT-LLR-1,TurnstileIngestion-Low Level Requirements,LlrDev1,Output Thread shall initialize the park_count to 0 on powerup.,OutputThread,
OUT-LLR-2,TurnstileIngestion-Low Level Requirements,LlrDev1,Output Thread shall broadcast a UDP message on port 62001 with the park_count every second.,OutputThread,HLR-3:v1
