"identifier","invalidatedAtTime","generatedAtTime","wasGeneratedById","consumedById","dataInsertedById","wasAttributedToId","providedById"
"DCC-1",null,null,null,"EXE-LLR-1",null,null,null
"DCC-1",null,null,null,"EXE-LLR-2",null,null,null
"DCC-1",null,null,null,"IN-LLR-1",null,null,null
"DCC-1",null,null,null,"OUT-LLR-1",null,null,null
"DCC-2",null,null,null,"IN-LLR-2",null,null,null
"DCC-2",null,null,null,"IN-LLR-3",null,null,null
"DCC-2",null,null,null,"IN-LLR-5",null,null,null
"DCC-2",null,null,null,"IN-LLR-6",null,null,null
"DCC-3",null,null,null,"IN-LLR-2",null,null,"IN-LLR-1"
"DCC-3",null,null,null,"IN-LLR-2",null,null,"IN-LLR-4"
"DCC-3",null,null,null,"IN-LLR-3",null,null,"IN-LLR-1"
"DCC-3",null,null,null,"IN-LLR-3",null,null,"IN-LLR-4"
"DCC-3",null,null,null,"IN-LLR-4",null,null,"IN-LLR-1"
"DCC-3",null,null,null,"IN-LLR-4",null,null,"IN-LLR-4"
"DCC-3",null,null,null,"IN-LLR-5",null,null,"IN-LLR-1"
"DCC-3",null,null,null,"IN-LLR-5",null,null,"IN-LLR-4"
"DCC-3",null,null,null,"IN-LLR-6",null,null,"IN-LLR-1"
"DCC-3",null,null,null,"IN-LLR-6",null,null,"IN-LLR-4"
"DCC-4",null,null,null,"OUT-LLR-2",null,null,"IN-LLR-3"
"DCC-4",null,null,null,"OUT-LLR-2",null,null,"OUT-LLR-1"
"DCC-5",null,null,null,null,null,null,"OUT-LLR-2"
"DCC-6",null,null,null,null,null,null,"EXE-LLR-3"
"DCC-6",null,null,null,null,null,null,"IN-LLR-5"
"DCC-6",null,null,null,null,null,null,"IN-LLR-6"

