"generatedAtTime","givenText","thenText","invalidatedAtTime","identifier","ifText","mitigatesId","satisfiesId","wasAttributedToId","governsId","dataInsertedById","wasGeneratedById"
null,null,null,null,"EXE-LLR-1",null,null,null,null,"ExecutiveThread",null,null
null,null,null,null,"EXE-LLR-2",null,null,null,null,"ExecutiveThread",null,null
null,null,null,null,"EXE-LLR-3",null,null,null,null,"ExecutiveThread",null,null
null,null,null,null,"IN-LLR-1",null,null,null,null,"InputThread",null,null
null,null,null,null,"IN-LLR-2",null,null,"HLR-1",null,"InputThread",null,null
null,null,null,null,"IN-LLR-2",null,null,"HLR-2",null,"InputThread",null,null
null,null,null,null,"IN-LLR-3",null,null,"HLR-1",null,"InputThread",null,null
null,null,null,null,"IN-LLR-3",null,null,"HLR-2",null,"InputThread",null,null
null,null,null,null,"IN-LLR-4",null,null,null,null,"InputThread",null,null
null,null,null,null,"IN-LLR-5",null,null,null,null,"InputThread",null,null
null,null,null,null,"IN-LLR-6",null,null,null,null,"InputThread",null,null
null,null,null,null,"OUT-LLR-1",null,null,null,null,"OutputThread",null,null
null,null,null,null,"OUT-LLR-2",null,null,"HLR-3",null,"OutputThread",null,null

