ID,comments,creator,jsonFile
ingest_Change_Authorization,Auto-generated ingestion for Change_Authorization,auto,ingest_Change_Authorization.json
ingest_ChangeRequest,Auto-generated ingestion for ChangeRequest,auto,ingest_ChangeRequest.json
ingest_ControlCoupleCoverageReport,Auto-generated ingestion for ControlCoupleCoverageReport,auto,ingest_ControlCoupleCoverageReport.json
ingest_ControlCouplingAnalysis,Auto-generated ingestion for ControlCouplingAnalysis,auto,ingest_ControlCouplingAnalysis.json
ingest_DataAndControlCouple,Auto-generated ingestion for DataAndControlCouple,auto,ingest_DataAndControlCouple.json
ingest_DataCoupleCoverageReport,Auto-generated ingestion for DataCoupleCoverageReport,auto,ingest_DataCoupleCoverageReport.json
ingest_DataCouplingAnalysis,Auto-generated ingestion for DataCouplingAnalysis,auto,ingest_DataCouplingAnalysis.json
ingest_DataDictionary,Auto-generated ingestion for DataDictionary,auto,ingest_DataDictionary.json
ingest_DefineSystemInterfaces,Auto-generated ingestion for DefineSystemInterfaces,auto,ingest_DefineSystemInterfaces.json
ingest_DevelopComponentTests,Auto-generated ingestion for DevelopComponentTests,auto,ingest_DevelopComponentTests.json
ingest_DevelopSystemArchitecture,Auto-generated ingestion for DevelopSystemArchitecture,auto,ingest_DevelopSystemArchitecture.json
ingest_DevelopUnitTests,Auto-generated ingestion for DevelopUnitTests,auto,ingest_DevelopUnitTests.json
ingest_Engineer,Auto-generated ingestion for Engineer,auto,ingest_Engineer.json
ingest_ExecutableObject,Auto-generated ingestion for ExecutableObject,auto,ingest_ExecutableObject.json
ingest_GenerateSoftwareReleaseDocumentation,Auto-generated ingestion for GenerateSoftwareReleaseDocumentation,auto,ingest_GenerateSoftwareReleaseDocumentation.json
ingest_HighLevelRequirement,Auto-generated ingestion for HighLevelRequirement,auto,ingest_HighLevelRequirement.json
ingest_LowLevelRequirement,Auto-generated ingestion for LowLevelRequirement,auto,ingest_LowLevelRequirement.json
ingest_ObjectFile,Auto-generated ingestion for ObjectFile,auto,ingest_ObjectFile.json
ingest_Problem_Reporting,Auto-generated ingestion for Problem_Reporting,auto,ingest_Problem_Reporting.json
ingest_ProblemReport,Auto-generated ingestion for ProblemReport,auto,ingest_ProblemReport.json
ingest_RequirementConfigurationManagement,Auto-generated ingestion for RequirementConfigurationManagement,auto,ingest_RequirementConfigurationManagement.json
ingest_ReviewConfigurationManagement,Auto-generated ingestion for ReviewConfigurationManagement,auto,ingest_ReviewConfigurationManagement.json
ingest_RpmFile,Auto-generated ingestion for RpmFile,auto,ingest_RpmFile.json
ingest_SoftwareAccomplishmentSummary,Auto-generated ingestion for SoftwareAccomplishmentSummary,auto,ingest_SoftwareAccomplishmentSummary.json
ingest_SoftwareCodeReview,Auto-generated ingestion for SoftwareCodeReview,auto,ingest_SoftwareCodeReview.json
ingest_SoftwareCodeReviewArtifacts,Auto-generated ingestion for SoftwareCodeReviewArtifacts,auto,ingest_SoftwareCodeReviewArtifacts.json
ingest_SoftwareCoding,Auto-generated ingestion for SoftwareCoding,auto,ingest_SoftwareCoding.json
ingest_SoftwareComponentTest,Auto-generated ingestion for SoftwareComponentTest,auto,ingest_SoftwareComponentTest.json
ingest_SoftwareComponentTestExecution,Auto-generated ingestion for SoftwareComponentTestExecution,auto,ingest_SoftwareComponentTestExecution.json
ingest_SoftwareComponentTestResult,Auto-generated ingestion for SoftwareComponentTestResult,auto,ingest_SoftwareComponentTestResult.json
ingest_SoftwareDesign,Auto-generated ingestion for SoftwareDesign,auto,ingest_SoftwareDesign.json
ingest_SoftwareDesignReview,Auto-generated ingestion for SoftwareDesignReview,auto,ingest_SoftwareDesignReview.json
ingest_SoftwareDesignReviewArtifacts,Auto-generated ingestion for SoftwareDesignReviewArtifacts,auto,ingest_SoftwareDesignReviewArtifacts.json
ingest_SoftwareIntegration,Auto-generated ingestion for SoftwareIntegration,auto,ingest_SoftwareIntegration.json
ingest_SoftwareModule,Auto-generated ingestion for SoftwareModule,auto,ingest_SoftwareModule.json
ingest_SoftwareRequirementReviewArtifacts,Auto-generated ingestion for SoftwareRequirementReviewArtifacts,auto,ingest_SoftwareRequirementReviewArtifacts.json
ingest_SoftwareRequirementsDefinition,Auto-generated ingestion for SoftwareRequirementsDefinition,auto,ingest_SoftwareRequirementsDefinition.json
ingest_SoftwareRequirementsReview,Auto-generated ingestion for SoftwareRequirementsReview,auto,ingest_SoftwareRequirementsReview.json
ingest_SoftwareThread,Auto-generated ingestion for SoftwareThread,auto,ingest_SoftwareThread.json
ingest_SoftwareUnitTest,Auto-generated ingestion for SoftwareUnitTest,auto,ingest_SoftwareUnitTest.json
ingest_SoftwareUnitTestExecution,Auto-generated ingestion for SoftwareUnitTestExecution,auto,ingest_SoftwareUnitTestExecution.json
ingest_SoftwareUnitTestResult,Auto-generated ingestion for SoftwareUnitTestResult,auto,ingest_SoftwareUnitTestResult.json
ingest_SourceCode,Auto-generated ingestion for SourceCode,auto,ingest_SourceCode.json
ingest_SourceConfigurationManagement,Auto-generated ingestion for SourceConfigurationManagement,auto,ingest_SourceConfigurationManagement.json
ingest_StructualCoverageAnalysis,Auto-generated ingestion for StructualCoverageAnalysis,auto,ingest_StructualCoverageAnalysis.json
ingest_StructuralCoverageReport,Auto-generated ingestion for StructuralCoverageReport,auto,ingest_StructuralCoverageReport.json
ingest_SystemComponent,Auto-generated ingestion for SystemComponent,auto,ingest_SystemComponent.json
ingest_SystemInterfaceDefinition,Auto-generated ingestion for SystemInterfaceDefinition,auto,ingest_SystemInterfaceDefinition.json
ingest_SystemRequirement,Auto-generated ingestion for SystemRequirement,auto,ingest_SystemRequirement.json
ingest_SystemRequirementsDefinition,Auto-generated ingestion for SystemRequirementsDefinition,auto,ingest_SystemRequirementsDefinition.json
