ID,comments,creator,jsonFile
ingest_certgate_ExpressionLangString,Auto-generated ingestion for ExpressionLangString,auto,ingest_certgate_ExpressionLangString.json
ingest_certgate_ArtifactAssetRelationship,Auto-generated ingestion for ArtifactAssetRelationship,auto,ingest_certgate_ArtifactAssetRelationship.json
ingest_certgate_ArgumentPackage,Auto-generated ingestion for ArgumentPackage,auto,ingest_certgate_ArgumentPackage.json
ingest_certgate_MultiLangString,Auto-generated ingestion for MultiLangString,auto,ingest_certgate_MultiLangString.json
ingest_certgate_TerminologyAsset,Auto-generated ingestion for TerminologyAsset,auto,ingest_certgate_TerminologyAsset.json
ingest_certgate_Expression,Auto-generated ingestion for Expression,auto,ingest_certgate_Expression.json
ingest_certgate_Event,Auto-generated ingestion for Event,auto,ingest_certgate_Event.json
ingest_certgate_ExpressionElement,Auto-generated ingestion for ExpressionElement,auto,ingest_certgate_ExpressionElement.json
ingest_certgate_Assertion,Auto-generated ingestion for Assertion,auto,ingest_certgate_Assertion.json
ingest_certgate_SacmElement,Auto-generated ingestion for SacmElement,auto,ingest_certgate_SacmElement.json
ingest_certgate_TerminologyElement,Auto-generated ingestion for TerminologyElement,auto,ingest_certgate_TerminologyElement.json
ingest_certgate_Claim,Auto-generated ingestion for Claim,auto,ingest_certgate_Claim.json
ingest_certgate_ArtifactAsset,Auto-generated ingestion for ArtifactAsset,auto,ingest_certgate_ArtifactAsset.json
ingest_certgate_ArgumentReasoning,Auto-generated ingestion for ArgumentReasoning,auto,ingest_certgate_ArgumentReasoning.json
ingest_certgate_AssertedRelationship,Auto-generated ingestion for AssertedRelationship,auto,ingest_certgate_AssertedRelationship.json
ingest_certgate_Property,Auto-generated ingestion for Property,auto,ingest_certgate_Property.json
ingest_certgate_TaggedValue,Auto-generated ingestion for TaggedValue,auto,ingest_certgate_TaggedValue.json
ingest_certgate_TerminologyPackage,Auto-generated ingestion for TerminologyPackage,auto,ingest_certgate_TerminologyPackage.json
ingest_certgate_Artifact,Auto-generated ingestion for Artifact,auto,ingest_certgate_Artifact.json
ingest_certgate_UtilityElement,Auto-generated ingestion for UtilityElement,auto,ingest_certgate_UtilityElement.json
ingest_certgate_ArtifactPackage,Auto-generated ingestion for ArtifactPackage,auto,ingest_certgate_ArtifactPackage.json
ingest_certgate_ArtifactReference,Auto-generated ingestion for ArtifactReference,auto,ingest_certgate_ArtifactReference.json
ingest_certgate_LangString,Auto-generated ingestion for LangString,auto,ingest_certgate_LangString.json
ingest_certgate_AssuranceCasePackage,Auto-generated ingestion for AssuranceCasePackage,auto,ingest_certgate_AssuranceCasePackage.json
ingest_certgate_TerminologyGroup,Auto-generated ingestion for TerminologyGroup,auto,ingest_certgate_TerminologyGroup.json
ingest_certgate_ImplementationConstraint,Auto-generated ingestion for ImplementationConstraint,auto,ingest_certgate_ImplementationConstraint.json
ingest_certgate_Note,Auto-generated ingestion for Note,auto,ingest_certgate_Note.json
ingest_certgate_ArgumentationElement,Auto-generated ingestion for ArgumentationElement,auto,ingest_certgate_ArgumentationElement.json
ingest_certgate_Resource,Auto-generated ingestion for Resource,auto,ingest_certgate_Resource.json
ingest_certgate_ArtifactElement,Auto-generated ingestion for ArtifactElement,auto,ingest_certgate_ArtifactElement.json
ingest_certgate_Element,Auto-generated ingestion for Element,auto,ingest_certgate_Element.json
ingest_certgate_ModelElement,Auto-generated ingestion for ModelElement,auto,ingest_certgate_ModelElement.json
ingest_certgate_Category,Auto-generated ingestion for Category,auto,ingest_certgate_Category.json
ingest_certgate_AssertedContext,Auto-generated ingestion for AssertedContext,auto,ingest_certgate_AssertedContext.json
ingest_certgate_Participant,Auto-generated ingestion for Participant,auto,ingest_certgate_Participant.json
ingest_certgate_Technique,Auto-generated ingestion for Technique,auto,ingest_certgate_Technique.json
ingest_certgate_Term,Auto-generated ingestion for Term,auto,ingest_certgate_Term.json
ingest_certgate_Description,Auto-generated ingestion for Description,auto,ingest_certgate_Description.json
ingest_certgate_AssertedEvidence,Auto-generated ingestion for AssertedEvidence,auto,ingest_certgate_AssertedEvidence.json
ingest_certgate_SacmActivity,Auto-generated ingestion for SacmActivity,auto,ingest_certgate_SacmActivity.json
ingest_certgate_ArgumentAsset,Auto-generated ingestion for ArgumentAsset,auto,ingest_certgate_ArgumentAsset.json
