ID,comments,creator,jsonFile
ingest_CODE_GEN,Auto-generated ingestion for CODE_GEN,auto,ingest_CODE_GEN.json
ingest_SYSTEM_DEVELOPMENT,Auto-generated ingestion for SYSTEM_DEVELOPMENT,auto,ingest_SYSTEM_DEVELOPMENT.json
ingest_MODEL,Auto-generated ingestion for MODEL,auto,ingest_MODEL.json
ingest_Element,Auto-generated ingestion for Element,auto,ingest_Element.json
ingest_TEST_DEVELOPMENT,Auto-generated ingestion for TEST_DEVELOPMENT,auto,ingest_TEST_DEVELOPMENT.json
ingest_ArtifactAssetRelationship,Auto-generated ingestion for ArtifactAssetRelationship,auto,ingest_ArtifactAssetRelationship.json
ingest_AGENT,Auto-generated ingestion for AGENT,auto,ingest_AGENT.json
ingest_Expression,Auto-generated ingestion for Expression,auto,ingest_Expression.json
ingest_SECTION,Auto-generated ingestion for SECTION,auto,ingest_SECTION.json
ingest_THING,Auto-generated ingestion for THING,auto,ingest_THING.json
ingest_ArtifactPackage,Auto-generated ingestion for ArtifactPackage,auto,ingest_ArtifactPackage.json
ingest_Resource,Auto-generated ingestion for Resource,auto,ingest_Resource.json
ingest_INTERFACE,Auto-generated ingestion for INTERFACE,auto,ingest_INTERFACE.json
ingest_OP_ENV,Auto-generated ingestion for OP_ENV,auto,ingest_OP_ENV.json
ingest_ANALYSIS,Auto-generated ingestion for ANALYSIS,auto,ingest_ANALYSIS.json
ingest_ANALYSIS_ANNOTATION,Auto-generated ingestion for ANALYSIS_ANNOTATION,auto,ingest_ANALYSIS_ANNOTATION.json
ingest_ArgumentReasoning,Auto-generated ingestion for ArgumentReasoning,auto,ingest_ArgumentReasoning.json
ingest_Event,Auto-generated ingestion for Event,auto,ingest_Event.json
ingest_DATA_DICTIONARY_TERM,Auto-generated ingestion for DATA_DICTIONARY_TERM,auto,ingest_DATA_DICTIONARY_TERM.json
ingest_HAZARD,Auto-generated ingestion for HAZARD,auto,ingest_HAZARD.json
ingest_Description,Auto-generated ingestion for Description,auto,ingest_Description.json
ingest_TerminologyElement,Auto-generated ingestion for TerminologyElement,auto,ingest_TerminologyElement.json
ingest_FILE_CREATION,Auto-generated ingestion for FILE_CREATION,auto,ingest_FILE_CREATION.json
