ID,comments,creator,jsonFile
ingest_CODE_GEN,Auto-generated ingestion for CODE_GEN,auto,ingest_CODE_GEN.json
ingest_SYSTEM_DEVELOPMENT,Auto-generated ingestion for SYSTEM_DEVELOPMENT,auto,ingest_SYSTEM_DEVELOPMENT.json
ingest_ASSERTED_CONTEXT,Auto-generated ingestion for ASSERTED_CONTEXT,auto,ingest_ASSERTED_CONTEXT.json
ingest_TEST_DEVELOPMENT,Auto-generated ingestion for TEST_DEVELOPMENT,auto,ingest_TEST_DEVELOPMENT.json
ingest_StrPort,Auto-generated ingestion for StrPort,auto,ingest_StrPort.json
ingest_AGENT,Auto-generated ingestion for AGENT,auto,ingest_AGENT.json
ingest_SystemComponent,Auto-generated ingestion for SystemComponent,auto,ingest_SystemComponent.json
ingest_HighLevelRequirement,Auto-generated ingestion for HighLevelRequirement,auto,ingest_HighLevelRequirement.json
ingest_SoftwareRequirementsDefinition,Auto-generated ingestion for SoftwareRequirementsDefinition,auto,ingest_SoftwareRequirementsDefinition.json
ingest_SECTION,Auto-generated ingestion for SECTION,auto,ingest_SECTION.json
ingest_SourceCode,Auto-generated ingestion for SourceCode,auto,ingest_SourceCode.json
ingest_SoftwareComponentTestResult,Auto-generated ingestion for SoftwareComponentTestResult,auto,ingest_SoftwareComponentTestResult.json
ingest_SystemInterfaceDefinition,Auto-generated ingestion for SystemInterfaceDefinition,auto,ingest_SystemInterfaceDefinition.json
ingest_THING,Auto-generated ingestion for THING,auto,ingest_THING.json
ingest_CLAIM,Auto-generated ingestion for CLAIM,auto,ingest_CLAIM.json
ingest_INTERFACE,Auto-generated ingestion for INTERFACE,auto,ingest_INTERFACE.json
ingest_OP_ENV,Auto-generated ingestion for OP_ENV,auto,ingest_OP_ENV.json
ingest_DevelopSystemArchitecture,Auto-generated ingestion for DevelopSystemArchitecture,auto,ingest_DevelopSystemArchitecture.json
ingest_ANALYSIS,Auto-generated ingestion for ANALYSIS,auto,ingest_ANALYSIS.json
ingest_ANALYSIS_ANNOTATION,Auto-generated ingestion for ANALYSIS_ANNOTATION,auto,ingest_ANALYSIS_ANNOTATION.json
ingest_ChangeRequest,Auto-generated ingestion for ChangeRequest,auto,ingest_ChangeRequest.json
