description,entityURL,generatedAtTime,identifier,invalidatedAtTime,title,definedIn_identifier,satisfiedBy_identifier,dataInsertedBy_identifier,wasAttributedTo_identifier,wasDerivedFrom_identifier,wasGeneratedBy_identifier,wasImpactedBy_identifier,wasRevisionOf_identifier
"Algorithms are accurate.",,,A-3-7,,,,,,,,,,
"High-level requirements are traceable to system requirements.",,,A-3-6,,,,,,,,,,
"High-level requirements conform to standards.",,,A-3-5,,,,,,,,,,
"High-level requirements are verifiable.",,,A-3-4,,,,,,,,,,
"High-level requirements are compatible with target computer.",,,A-3-3,,,,,,,,,,
"High-level requirements are accurate and consistent.",,,A-3-2,,,,,,,,,,
"High-level requirements comply with system requirements.",,,A-3-1,,,,,,,,,,
"Low-level requirements are verifiable.",,,A-4-4,,,,,,,,,,
"Software partitioning integrity is confirmed.",,,A-4-13,,,,,,,,,,
"Software architecture is compatible with highlevel requirements.",,,A-4-8,,,,,,,,,,
"Low-level requirements are compatible with target computer.",,,A-4-3,,,,,,,,,,
"Software architecture is compatible with target computer.",,,A-4-10,,,,,,,,,,
"Low-level requirements are traceable to highlevel requirements.",,,A-4-6,,,,,,,,,,
"Low-level requirements conform to standards.",,,A-4-5,,,,,,,,,,
"Software architecture is consistent.",,,A-4-9,,,,,,,,,,
"Software architecture conforms to standards.",,,A-4-12,,,,,,,,,,
"Software architecture is verifiable.",,,A-4-11,,,,,,,,,,
"Algorithms are accurate.",,,A-4-7,,,,,,,,,,
"Low-level requirements are accurate and consistent.",,,A-4-2,,,,,,,,,,
"Low-level requirements comply with high-level requirements.",,,A-4-1,,,,,,,,,,
"Verification of Parameter Data Item File is achieved.",,,A-5-9,,,,,,,,,,
"Source Code is accurate and consistent.",,,A-5-6,,,,,,,,,,
"Source Code is verifiable.",,,A-5-3,,,,,,,,,,
"Parameter Data Item File is correct and complete.",,,A-5-8,,,,,,,,,,
"Source Code is traceable to low-level requirements.",,,A-5-5,,,,,,,,,,
"Source Code complies with software architecture.",,,A-5-2,,,,,,,,,,
"Source Code conforms to standards.",,,A-5-4,,,,,,,,,,
"Output of software integration process is complete and correct.",,,A-5-7,,,,,,,,,,
"Source Code complies with low-level requirements.",,,A-5-1,,,,,,,,,,
"Executable Object Code is compatible with target computer.",,,A-6-5,,,,,,,,,,
"Executable Object Code is robust with low-level requirements.",,,A-6-4,,,,,,,,,,
"Executable Object Code complies with low-level requirements.",,,A-6-3,,,,,,,,,,
"Executable Object Code is robust with high-level requirements.",,,A-6-2,,,,,,,,,,
"Executable Object Code complies with high-level requirements.",,,A-6-1,,,,,,,,,,
"Development and revision of software plans are coordinated.",,,A-1-7,,,,,,,,,,
"Software plans comply with this document.",,,A-1-6,,,,,,,,,,
"Software development standards are defined.",,,A-1-5,,,,,,,,,,
"Additional considerations are addressed.",,,A-1-4,,,,,,,,,,
"Software life cycle environment is selected and defined.",,,A-1-3,,,,,,,,,,
"The software life cycle(s), including the inter-relationships between the processes, their sequencing, feedback mechanisms, and transition criteria, is defined.",,,A-1-2,,,,,,,,,,
"The activities of the software life cycle processes are defined.",,,A-1-1,,,,,,,,,,
"Compliance substantiation is provided.",,,A-10-3,,,,,,,,,,
"The means of compliance is proposed and agreement with the Plan for Software Aspects of Certification is obtained.",,,A-10-2,,,,,,,,,,
"Communication and understanding between the applicant and the certification authority is established.",,,A-10-1,,,,,,,,,,
"Executable Object Code and Parameter Data Item Files, if any, are produced and loaded in the target computer.",,,A-2-7,,,,,,,,,,
"Source Code is developed.",,,A-2-6,,,,,,,,,,
"Derived lowlevel requirements are defined and provided to the system processes, including the system safety assessment process.",,,A-2-5,,,,,,,,,,
"Low-level requirements are developed.",,,A-2-4,,,,,,,,,,
"Software architecture is developed.",,,A-2-3,,,,,,,,,,
"Derived highlevel requirements are defined and provided to the system processes, including the system safety assessment process.",,,A-2-2,,,,,,,,,,
"High-level requirements are developed.",,,A-2-1,,,,,,,,,,
"Test procedures are correct.",,,A-7-1,,,,,,,,,,
"Test results are correct and discrepancies explained.",,,A-7-2,,,,,,,,,,
"Verification of additional code, that cannot be traced to Source Code, is achieved.",,,A-7-9,,,,,,,,,,
"Test coverage of high-level requirements is achieved.",,,A-7-3,,,,,,,,,,
"Test coverage of low-level requirements is achieved.",,,A-7-4,,,,,,,,,,
"Test coverage of software structure (modified condition/decision coverage) is achieved.",,,A-7-5,,,,,,,,,,
"Test coverage of software structure (decision coverage) is achieved.",,,A-7-6,,,,,,,,,,
"Test coverage of software structure (statement coverage) is achieved.",,,A-7-7,,,,,,,,,,
"Test coverage of software structure (data coupling and control coupling) is achieved.",,,A-7-8,,,,,,,,,,
"Assurance is obtained that software conformity review is conducted.",,,A-9-5,,,,,,,,,,
"Assurance is obtained that transition criteria for the software life cycle processes are satisfied.",,,A-9-4,,,,,,,,,,
"Assurance is obtained that software life cycle processes comply with approved software standards.",,,A-9-3,,,,,,,,,,
"Assurance is obtained that software life cycle processes comply with approved software plans.",,,A-9-2,,,,,,,,,,
"Assurance is obtained that software plans and standards are developed and reviewed for compliance with this document and for consistency.",,,A-9-1,,,,,,,,,,
"Software life cycle environment control is established.",,,A-8-6,,,,,,,,,,
"Software load control is established.",,,A-8-5,,,,,,,,,,
"Archive, retrieval, and release are established.",,,A-8-4,,,,,,,,,,
"Problem reporting, change control, change review, and configuration status accounting are established.",,,A-8-3,,,,,,,,,,
"Baselines and traceability are established.",,,A-8-2,,,,,,,,,,
"Configuration items are identified.",,,A-8-1,,,,,,,,,,
