identifier,wasImpactedBy_identifier
CAPEC-1,CWE-276
CAPEC-1,CWE-285
CAPEC-1,CWE-434
CAPEC-1,CWE-693
CAPEC-1,CWE-732
CAPEC-1,CWE-1193
CAPEC-1,CWE-1220
CAPEC-1,CWE-1297
CAPEC-1,CWE-1311
CAPEC-1,CWE-1314
CAPEC-1,CWE-1315
CAPEC-1,CWE-1318
CAPEC-1,CWE-1320
CAPEC-1,CWE-1321
CAPEC-1,CWE-1327
CAPEC-10,CWE-120
CAPEC-10,CWE-302
CAPEC-10,CWE-118
CAPEC-10,CWE-119
CAPEC-10,CWE-74
CAPEC-10,CWE-99
CAPEC-10,CWE-20
CAPEC-10,CWE-680
CAPEC-10,CWE-733
CAPEC-10,CWE-697
CAPEC-100,CWE-120
CAPEC-100,CWE-119
CAPEC-100,CWE-131
CAPEC-100,CWE-129
CAPEC-100,CWE-805
CAPEC-100,CWE-680
CAPEC-101,CWE-97
CAPEC-101,CWE-74
CAPEC-101,CWE-20
CAPEC-102,CWE-294
CAPEC-102,CWE-522
CAPEC-102,CWE-523
CAPEC-102,CWE-319
CAPEC-102,CWE-614
CAPEC-103,CWE-1021
CAPEC-104,CWE-250
CAPEC-104,CWE-638
CAPEC-104,CWE-285
CAPEC-104,CWE-116
CAPEC-104,CWE-20
CAPEC-105,CWE-74
CAPEC-105,CWE-138
CAPEC-105,CWE-436
CAPEC-107,CWE-693
CAPEC-107,CWE-648
CAPEC-108,CWE-89
CAPEC-108,CWE-74
CAPEC-108,CWE-20
CAPEC-108,CWE-78
CAPEC-108,CWE-114
CAPEC-109,CWE-20
CAPEC-109,CWE-89
CAPEC-109,CWE-564
CAPEC-11,CWE-430
CAPEC-110,CWE-89
CAPEC-110,CWE-20
CAPEC-111,CWE-345
CAPEC-111,CWE-346
CAPEC-111,CWE-352
CAPEC-112,CWE-330
CAPEC-112,CWE-326
CAPEC-112,CWE-521
CAPEC-113,CWE-1192
CAPEC-114,CWE-287
CAPEC-114,CWE-1244
CAPEC-115,CWE-287
CAPEC-116,CWE-200
CAPEC-116,CWE-1243
CAPEC-117,CWE-319
CAPEC-12,CWE-201
CAPEC-12,CWE-306
CAPEC-120,CWE-173
CAPEC-120,CWE-172
CAPEC-120,CWE-177
CAPEC-120,CWE-181
CAPEC-120,CWE-183
CAPEC-120,CWE-184
CAPEC-120,CWE-74
CAPEC-120,CWE-20
CAPEC-120,CWE-697
CAPEC-120,CWE-692
CAPEC-121,CWE-489
CAPEC-121,CWE-1209
CAPEC-121,CWE-1259
CAPEC-121,CWE-1267
CAPEC-121,CWE-1270
CAPEC-121,CWE-1294
CAPEC-121,CWE-1295
CAPEC-121,CWE-1296
CAPEC-121,CWE-1302
CAPEC-121,CWE-1313
CAPEC-122,CWE-269
CAPEC-122,CWE-732
CAPEC-122,CWE-1317
CAPEC-123,CWE-119
CAPEC-124,CWE-1189
CAPEC-124,CWE-1331
CAPEC-125,CWE-404
CAPEC-125,CWE-770
CAPEC-126,CWE-22
CAPEC-127,CWE-424
CAPEC-127,CWE-425
CAPEC-127,CWE-288
CAPEC-127,CWE-285
CAPEC-127,CWE-732
CAPEC-127,CWE-276
CAPEC-127,CWE-693
CAPEC-128,CWE-682
CAPEC-129,CWE-682
CAPEC-129,CWE-822
CAPEC-129,CWE-823
CAPEC-13,CWE-353
CAPEC-13,CWE-285
CAPEC-13,CWE-302
CAPEC-13,CWE-74
CAPEC-13,CWE-15
CAPEC-13,CWE-73
CAPEC-13,CWE-20
CAPEC-13,CWE-200
CAPEC-130,CWE-404
CAPEC-130,CWE-770
CAPEC-130,CWE-1325
CAPEC-131,CWE-404
