identifier,title
Architecture_or_Design_Review,Architecture or Design Review
Automated_Analysis,Automated Analysis
Automated_Dynamic_Analysis,Automated Dynamic Analysis
Automated_Static_Analysis,Automated Static Analysis
Automated_Static_Analysis_-_Binary_or_Bytecode,Automated Static Analysis - Binary or Bytecode
Automated_Static_Analysis_-_Source_Code,Automated Static Analysis - Source Code
Black_Box,Black Box
Dynamic_Analysis_with_Automated_Results_Interpretation,Dynamic Analysis with Automated Results Interpretation
Dynamic_Analysis_with_Manual_Results_Interpretation,Dynamic Analysis with Manual Results Interpretation
Fuzzing,Fuzzing
Manual_Analysis,Manual Analysis
Manual_Dynamic_Analysis,Manual Dynamic Analysis
Manual_Static_Analysis,Manual Static Analysis
Manual_Static_Analysis_-_Binary_or_Bytecode,Manual Static Analysis - Binary or Bytecode
Manual_Static_Analysis_-_Source_Code,Manual Static Analysis - Source Code
Other,Other
White_Box,White Box
