source,identifier,title,description
CertGate,Testing__Requirement_Satisfaction,Testing: Requirement Satisfaction,
CertGate,Testing__Statement_Coverage,Testing: Statement Coverage,
CertGate,Testing__Oracle_Monitored_Coverage,Testing: Oracle Monitored Coverage,
CertGate,Testing__Input_Space_Coverage,Testing: Input Space Coverage,
CertGate,Static_Analysis__CWE,Static Analysis: CWE,
CertGate,Static_Analysis__Issue,Static Analysis: Issue,
DesCert,ArchSpec_QuasiPeriodicMultiRateSubsystem_ComputationalModelRestriction,ArchSpec QuasiPeriodicMultiRateSubsystem ComputationalModelRestriction,"Property Objective: Software architecture of ArduPilot Advanced Fail Safe (AFS) subsystem conforms and is restricted to quasi-periodic multi-rate computational model.
Property met rationale: ArduPilot Advanced Fail Safe (AFS) subsystem include afs_gateway and afs_function that are specified in afs.radl with document identifier DOCUMENT_RADL_Specification_ArduPilot_AFS_1. Radler build process used the afs.radl specification which included multiple rates of different computational nodes (tasks running at fixed period) with communicating topics/messages between publishers and subscribers over channels with expectation of guaranteed delivery and latency/timing/delays.  Radler compiles the associated software source code related to afs_gateway and afs_function (RADL nodes of AFS) and then executes the code within a ROS environment with a fixed period that is may or may not vary but is bounded (i.e. period may vary between min and max clock)."
DesCert,ArchSpec_ComputationalModel_ComunicationLatencyTimingBufferSizeAndMessageFreshness,ArchSpec ComputationalModel ComunicationLatencyTimingBufferSizeAndMessageFreshness,"Property Objective: Quasi-periodic computational model of any RADL architecture and in particular ArduPilot Advanced Fail Safe (AFS) subsystem has the following 5 properties: (1) Bounded processing latency for any message/topic between every pair of publisher and subscriber (2) communication messages are delivered in order i.e. no overtaking, with timing assumptions (3) Given fixed buffer (including size 1), consecutive message losses can be bounded (4) Message Loss can be eliminated with Bounded queue length which can be used to provision communication channel for transporting message/topic between publisher & subscribers appropriately and (5) Age and/or Freshness of any message at any subscriber in terms of time steps is bounded.
Property met rationale: Analysis results presented in documents with identifiers DOCUMENT_RADL_Paper_Memocode_2014, DOCUMENT_RADL_Slides_Memocode_2014  and summarized in documents with identifiers DOCUMENT_RADL_Paper_Memocode_2015, DOCUMENT_RADL_Slides_Memocode_2015."
DesCert,ArchSpec_RuntimeCodeMonitor_PlatformAssumptions,ArchSpec RuntimeCodeMonitor PlatformAssumptions,"Property Objective: Radler, validates platform/physical layer performance when bound to logical layer functions as well as any other assumptions on the architectural model used in verifying any other properties, for any RADL Specification and  in particular ArduPilot Advanced Fail Safe (AFS) subsystem,  the following 4 properties are always held at run-time: (1) No stale message received after it's latency and period (2) every message is never received more than it's timeout duration latency and period (3)  system healthy and no failures and (4)max latencies, node periods, execution times adheres to the specifications.
Property met rationale: Radler enforces for each node, a state structure, an initialization function, a step function, and a finish function code structure as well as generates the communication layer (glue code), the scheduler, the overall compilation script and configuration files, and builds an executable for each machine. Radler also instruments the code for runtime monitoring and validation of platform performance and assumptions. Please see detailed rationale in documents with identifiers DOCUMENT_RADL_Paper_Memocode_2015, DOCUMENT_RADL_Slides_Memocode_2015."
DesCert,ArchSpec_Robust_Time_and_Space_Partitioning,ArchSpec Robust Time and Space Partitioning,"Property Objective: Physical Layer of RADL Architectural Specification and in particular ArduPilot Advanced Fail Safe (AFS) subsystem physical layer has robust time and space partitioning.
Property met rationale: Robust Space Partitioning based on the memory partitioning strategy in the specification depending on whether the two RADL nodes in  are in (1) same virtual machine within a RTOS  or  (2) two different virtual machines with different individual RTOS but in the same hypervisor within a single machine or (3) two machines then the Radler will ensure provisioning respectively for (1) a shared memory ring buffer (intra partition) or (2)  a ring buffer will be setup in a memory region shared
between those two virtual machine with message passing APIs (inter-partition) and (3) IP-based communication will be used with queuing and sampling ports (inter-partition) appropriately. Robust time partitioning with WCETs for every step function (computation duration) within each RADL node being specified in the RADL specification and also subsequently  radler tool is also able to generate an instrumented version of the software code and monitor the system with runtime checks for violations of  timing properties such as maximum latency of channels, node periods, execution times, etc. The radler tool also generates local system log that radler can be analyzed and validated against the architecture specification. Such runtime checks are often the only way of validating the timing parameters assumed by the model. Please see detailed rationale in documents with identifiers DOCUMENT_RADL_Paper_Memocode_2015, DOCUMENT_RADL_Slides_Memocode_2015."
DesCert,Req_Consistent,Req Consistent,"Requirements (in a given set) are mutually consistent, i.e., there are no conflicts among them"
DesCert,Req_No_Mode_Thrashing,Req No Mode Thrashing,Requirements (in a given set) are free of mode thrashing errors
DesCert,Req_NonAmbiguous,Req NonAmbiguous,Requirements are non-ambiguous
DesCert,Req_Verifiable,Req Verifiable,Requirements are verifiable
DesCert,Req_Output_Space_Complete,Req Output Space Complete,The Output Space produced by requirements (in a given set) is complete for Booleans and enumerations
DesCert,Req_Input_Space_Complete,Req Input Space Complete,The Input Space (domain) of requirements  (in a given set) is internally complete
DesCert,Req_Accurate,Req Accurate,"Requirements are accurate; e.g., input conditions, output values, and timing is precisely specified"
DesCert,ArchControl_NonInterference_Isolation,ArchControl NonInterference Isolation,Non-Interference and isolation guarantees whereby interference of one partition will not impact another partition
DesCert,ArchControl_TSN_Partition_Guarantees,ArchControl TSN Partition Guarantees,"Time-space-network  (TSN) resources (e.g., cpu cycles, memory, bandwidth etc) are partitioned/allocated properly"
DesCert,ArchControl_Data_Flows_Encrypted,ArchControl Data Flows Encrypted,All dataflows are always encrypted (due to architectural controls)
DesCert,ArchControl_Valid_Pub_Subs,ArchControl Valid Pub Subs,"Only valid, authenticated publisher and subscribers cap participate in Secure DDS"
DesCert,ArchControl_SecureData_Between_Pub_Subs,ArchControl SecureData Between Pub Subs,Dataflows flow only between configured publisher and subscribers in Secure DDS
DesCert,ArchControl_Com_Port_Info_Leak,ArchControl Com Port Info Leak,All communication ports deny exfiltration and infiltration opportunities
DesCert,ArchControl_Platform_Software_Config,ArchControl Platform Software Config,"All platform software configuration aspects  (ROS nodes, topics, dataflows) and logical layer, physical layer specs are adhered to (make it generic)"
DesCert,ArchControl_Certified_Code_Binary_Build_Execution,ArchControl Certified Code Binary Build Execution,No code and binaries built bypasses certified build and proper attestation of code bring built and only attested code is executed
DesCert,ArchControl_No_Undetected_Events,ArchControl No Undetected Events,"no fault/failure events goes undetected utilizing Radler for Platform Status and Faults, Logger for AFS Contingency Events and BeepBeep Monitor for Application Performance"
DesCert,SecuritySpec_Well_Formed_Acyclic,SecuritySpec Well Formed Acyclic,Analysis of Architecture & Security Specification: The graph of architecture and security relationships is acyclic directed graph.
DesCert,SecuritySpec_TouchPt_Not_EmptyOrNull,SecuritySpec TouchPt Not EmptyOrNull,"For each object with touchpoint, its touchpoint attribute cannot be null or empty set. (This could apply to other attributes of each type definition that requires proper initialization)."
DesCert,SecuritySpec_Valid_Prop_Result_ForEvery_Vul_AAVec,SecuritySpec Valid Prop Result ForEvery Vul AAVec,"In entire graph: For each vulnerability exploited by attackVector, all properties that mitigate the vulnerability on the same architecture touchpoints have a valid property result."
DesCert,SecuritySpec_VulTouchPts_Covered_By_Property,SecuritySpec VulTouchPts Covered By Property,"In entire graph: For each combination of vulnerability instance and attackVector instance, and corresponding assigned property that mitigates, is every touchpoint shared by both vulnerability and attack vector is mitigated by at least one property."
DesCert,SecuritySpec_No_Duplicate_Objects,SecuritySpec No Duplicate Objects,"In entire graph: No duplicated object instances exist (e.g., identical vulnerabilities, controls etc.)."
DesCert,CodeTypeCheck_No_Tainted_DataFlow,CodeTypeCheck No Tainted DataFlow,No tainted data flows to an untrusted component that is vulnerable to tainted data (e.g. prevents Log4j vulnerability exploitation)
DesCert,CodeTypeCheck_No_Resource_Leak,CodeTypeCheck No Resource Leak,No resource leakage from software component
DesCert,CodeTypeCheck_No_InfoPrivacy_Leak,CodeTypeCheck No InfoPrivacy Leak,No information flow privacy leakage from software component
DesCert,CodeTypeCheck_No_Remote_Cmd_Injection,CodeTypeCheck No Remote Cmd Injection,No remote command injection from a software component
DesCert,CodeTypeCheck_No_Remote_Code_Exec,CodeTypeCheck No Remote Code Exec,No remote execution/insertion of malicious code vulnerabilities
DesCert,CodeTypeCheck_No_Nullness_DoS,CodeTypeCheck No Nullness DoS,No denial of service due to triggering of nullness exceptions
DesCert,Model_Check_Specific_Behavior,Model Check Specific Behavior,"Specific (application temporal, non-temporal) behavior properties that are model checked "
DesCert,Testing_Adequacy_of_Test_Oracle_wrt_Requirements,Testing Adequacy of Test Oracle wrt Requirements,All test oracles for requirements were generated
DesCert,Testing_Coverage_of_TestCase_on_TestOracles,Testing Coverage of TestCase on TestOracles,Coverage of test oracles by test cases
DesCert,Testing_Compositional_Coverage_of_TestCase_on_Requirements,Testing Compositional Coverage of TestCase on Requirements,Combines: Test_Oracle_Adequacy_wrt_Requirements + Coverage_of_TestCase_on_TestOracles
DesCert,Testing_Execution_of_Each_Test_Case_on_Object_Code,Testing Execution of Each Test Case on Object Code,Execution of each test case on object code. Result is Pass/Fail
DesCert,Testing_No_UnDispositioned_Failed_Tests,Testing No UnDispositioned Failed Tests,There are no tests that are  failed and have not dispositioned.
